;Nome;Endereco;Bairro;CNPJ;;;
44;POSTO RECH LTDA.;AVENIDA ENGENHEIRODOMINGOS FERREIRA, 2117 ;BOA VIAGEM;11.052.812/0001-05;;;
45;POSTO SOPHIA LTDA;AVENIDA CAXANGA, 5405;VARZEA;07.594.533/0001-98;;;
46;R. M. PETROLEO LTDA;AVENIDA DOUTOR JOSE RUFINO;TEJIPIÓ;02.760.313/0001-73;;;
47;TACARUNA PETROLEO LTDA;AVENIDA GOVERNADOR AGAMENON MAGALHAES, 1101;SANTO AMARO;05.381.715/0001-55;;;
48;A B SILVA E CIA LTDA;AVENIDA BEBERIBE, 1021;ENCRUZILHADA;10.973.568/0001-42;;;
49;AC NORTE LTDA;AVENIDA NORTE, 1002;SANTO AMARO;05.148.880/0001-61;;;
50;ALMEIDA COMERCIO DE DERIVADOS DE PETROLEO LTDA;AVENIDA MONTEVIDEU, 336;BOA VISTA;02.070.333/0001-12;;;
51;AUTO POSTO AURORA LTDA;RUA DA AURORA, 998;BOA VISTA;01.207.642/0001-29;;;
52;BEZERRA MENEZES COMERCIO DE PETROLE LTDA;AVENIDA DOUTOR BELMÍNIO CORREIO, 8082;SÃO LOURENÇO DA MATA;12.848.099/001-65;;;
53;C ALBUQUERQUE COMÉRCIO DE COMBUSTÍVEIS LTDA.;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO, 91 ;PRADO;07.553.578/0001-14;;;
54;CEMOPEL-CM PETOLEO LTDA-2;AVENIDA PARNAMIRIM, 196;PARNAMIRIM;69.943.686/0002-31;;;
55;CEMOPEL-CM PETROLEO LTDA;AVENIDA RUI BARBOSA, 879;GRACAS;69.943.686/0001-50;;;
56;CEMOPEL-CM PETROLEO LTDA-8;RUA RIO AZUL, 219;BOA VIAGEM;69.943.686/0008-27;;;
57;CJCM PETROLEO LTDA;RUA ERNESTO DE PAULA SANTOS , 525;BOA VIAGEM;13.901.790/0001-28;;;
58;CJCM Petróleo Ltda;AV. DEZESSETE DE AGOSTO, 2450;CASA FORTE;13.901.790/0004-70;;;0
59;FERRAZ COMERCIO DE COMBUSTIVEIS LTDA;ESTRADA DE BELEM, 1782;CAMPO GRANDE;08.342.298/0001-20;;;
60;FERRAZ COMERCIO DE COMBUSTIVEIS LTDA-2;AVENIDA MARIA IRENE, 831;JORDAO;08.342.298/0002-00;;;
61;P G COMÉRCIO DE COMBUSTÍVEIS LTDA;RUA MONTE CASTELO , 35;BOA VISTA;10.568.817/0001-14;;;
62;PETROCAL AMELIA;RUA AMÉLIA, 435;GRAÇAS;05.684.913/0002-79;;;
63;PETROCAL CORDEIRO;AVENIDA PROFESSOR ESTEVÃO FRANCISCO DA COSTA, 257;TORRE;12.781.233/0021-00;;;
64;PETROCAL-PETROLEO CAVALCANTI LTDA-5;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, 3110;ENCRUZILHADA;12.781.233/0005-81;;;
65;PETROCAL-PETROLEO CAVALCANTI LTDA-6;AVENIDA ANTONIO DE GOES, 218;PINA;12.781.233/0006-62;;;
66;POSTO CAMPUS DE COMBUSTIVEIS LTDA;RUA BENFICA;MADALENA;11.651.329/0001-39;;;
67;POSTO DE ABASTECIMENTO IPSEP LTDA;RUA JEAN EMILE FAVRE, 1083;IPSEP;11.564.671/0001-00;;;
68;POSTO ESPIRITO SANTO LTDA;AVENIDA DOUTOR JOSE RUFINO, 2009;BARRO;24.440.646/0001-58;;;
69;POSTO FIJI COMERCIO DE COMBUSTIVEIS LTDA;RODOVIA BR-101, S/N;PRAZERES;11.251.195/001-69;;;
70;POSTO IBIZA LTDA;AVENIDA RECIFE, 5421;SAN MARTIN;03.281.744/0002-09;;;
71;POSTO IBIZA LTDA;AVENIDA MANOEL GONÇALVES DA LUZ, 70;BONGI;03.281.744/0001-10;;;
72;POSTO NOSSA SENHORA DOS PRAZERES LTDA;RUA SÃO MIGUEL, 1452;AFOGADOS;11.176.245/0002-71;;;
73;RIBEIRO REVENDEDORA DE COMBUSTIVEIS LTDA;AVENIDA CONDE DA BOA VISTA, 1377;SOLEDADE;11.315.678/0001-80;;;
74;S B COMÉRCIO DE PETRÓLEO LTDA;ROD. BR- 101 KM- 56 S/N ;APIPUCOS ;10.887.086/0001-70;;;
75;SIVINI PETROLEO LTDA;AVENIDA BEBERIBE, 3433;AGUA FRIA;02.998.548/0001-06;;;
76;A. V. COMBUSTIVEIS LTDA-2;AVENIA DEZESSETE DE AGOSTO, 2310;MONTEIRO;02.162.112/0002-55;;;
77;ARMOSA DISTRIBUIDORA LTDA;RUA ABELARDO, 30;GRAÇAS;11.887.478/0001-00;;;
78;AUTO POSTO AREIAS PETROLEO LTDA;AVENIDA DOUTOR JOSE RUFINO, 1508;BARRO;13.416.163/0001-00;;;
79;AUTO POSTO VILA NOVA LTDA;AVENIDA CAXANGA, 1271;CORDEIRO;24.404.154/0001-07;;;
80;CAPRICHO PETROLEO LTDA;AVENIDA TAPAJOS, 29;ESTANCIA;13.213.478/0001-41;;;
81;CARICE COMERCIO DE COMBUSTIVEIS LTDA;RUA ERNESTO DE PAULA SANTOS, 913;BOA VIAGEM;11.512.498/0001-98;;;
82;CONSTRUCIPE - COM. CONSTRUCOES E INC. LTDA-2;AVENIDA PRESIDENTE DUTRA, 451;IMBIRIBEIRA;07.193.050/0002-62;;;
83;D LINSAY LTDA - EPP;RUA ALTO DO GALUCHO - BR-232, S/N, KM 47;REDENÇÃO - VITÓRIA DE STO ANTÃO;70.080.221/0001-00;;;
84;D LINSAY LTDA - EPP;ROD BR 232, 260 - KM 128;DISTRITO INDUSTRIAL - CARUARU;70.080.221/0002-83;;;
85;ENERGY DERIVADOS DE PETROLEO LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS, 53;IMBIRIBEIRA;08.826.546/0001-08;;;
86;EXCLUSIVE COMERCIAL LTDA;ESTRADA DO ARRAIAL, 2345;TAMARINEIRA;70.174.925/0001-34;;;
87;J L POSTO VENDA GRANDE LTDA;RUA ARQUITETO LUIZ NUNES, 493;IMBIRIBEIRA;04.706.459/0001-66;;;
88;L S S COMBUSTIVEL LTDA;RUA SAO MIGUEL, 2072;JIQUIA;69.952.240/0001-92;;;
89;M L VIEIRA CUNHA CIA LTDA;AVENIDA CONSELHEIRO AGUIAR, 4074;BOA VIAGEM;10.917.037/0001-32;;;
90;NASHE LTDA;AVENIDA VISCONDE DE JEQUITINHINHA, 3594;BOA VIAGEM;70.090.972/0001-08;;;
91;NVC COMERCIO DE COMBUSTIVEIS EIRELI;AVENIDA NORTE, 2905;ENCRUZILHADA;20.981.481/0001-70;;;
92;O V J DERIVADOS DE PETROLEO LTDA;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, 3416;ENCRUZINHADA;09.571.844/0001-67;;;
93;PETRO AGAMENON COMBUSTIVEL LTDA;AVENIDA GOVERNADOR AGAMENON MAGALHAES, 501;SANTO AMARO;09.462.260/0001-53;;;
94;PETRO JOQUEI COMBUSTIVEL LTDA;RUA CARLOS GOMES , 758;PRADO;07.815.352/0001-44;;;
95;POSTO BIPIRANGA LTDA;AVENIDA RECIFE , 3532;IPSEP;07.090.825/0001-93;;;
96;POSTO CASA FORTE LTDA;AV. 17 DE AGOSTO, 598;CASA FORTE ;08.156.003/0001-20;;;
97;POSTO DE COMBUSTÍVEIS ROCHA LTDA;RUA COSME VIANA ;AFOGADOS;11.029.057/0001-30;;;
98;POSTO INTERNACIONAL LTDA;RUA BENFICA, 569;MADALENA;02.755.124/0001-02;;;
99;POSTO LUPP 2 LTDA;AV. ENG.ABDIAS DE CARVALHO 1122;SAN MARTIN;24.336.661/0001-50;;;
100;POSTO PARAISO NORTE LTDA;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, 4337;TAMARINEIRA;11.450.673/0001-60;;;
101;POSTO ZAICANER LTDA;AVENIDA BEBERIBE, 2150;AGUA FRIA;02.994.835/0001-30;;;
102;POSTOS F V V LTDA;AVENIDA MILITAR, 550;RECIFE;35.703.685/0001-17;;;
103;RENAFE COMERCIO LTDA;AVENIDA DOUTOR JOSE RUFINO , 3905;TEJIPIÓ;70.227.178/0001-55;;;
104;SOCIEDADE COMERCIAL CAVALCANTI E FILHO LTDA-2;AVENIDA ENGENHEIRO DOMINGOS FERREIRA, 2640;BOA VIAGEM;24.395.071/0002-80;;;
105;ARMOSA DISTRIBUIDORA LTDA;CAIS DE SANTA RITA, 30;SANTO ANTÔNIO;11.887.478/0001-00;;;
106;BRAZ PETRO COMBUSTIVEIS LTDA;RUA SAO , 320;AFOGADOS;05.002.107/0001-92;;;
107;GASOLUB COMERCIO E SERVIÇOS LTDA;RUA COSME VIANA, 721;AFOGADOS;02.048.553/0001-40;;;
108;MARTINS & MARTINS LUBRIFICANTES E COMB LTDA;TRAVESSA SÃO MIGUEL, 2012;JIQUIÁ;17.065.055/0001-82;;;
109;MEGA POSTO LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS, 1022;IMBIRIBEIRA;02.161.781/0001-21;;;
110;MONTENESES LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS, 3000;IMBIRIBEIRA;01.214.408/0001-29;;;
111;POSTO ALBATEX LTDA;AVENIDA PROFESSOR MORAES REGO, 670;VARZEA;05.557.705/0001-28;;;
112;POSTO APOLO LTDA;AVENIDA CAIS DO APOLO, 790;RECIFE;09.025.305/0001-22;;;
113;POSTO FERRARI LTDA;AVENIDA BEBERIBE, 202;AGUA FRIA;03.451.205/0001-81;;;
