;Nome;Endereco;Bairro;CNPJ;;;
203;PASSIRA COM. DE DERIV. DE PET. LTDA-02;AVENIDA JOAO DE BARROS;ESPINHEIRO;05.066.120/0002-96;;;
204;PASSIRA COMERCIO DE DERIVADOS DE PETROLEO LTDA-1;AV GAL. MAC ARTHUR;IMBIRIBEIRA;05.066.120/0001-05;;;
205;PETRO MIX LTDA;AVENIDA RUI BARBOSA;GRAÇAS;05.684.913/0001-98;;;
206;PETRO MIX LTDA-2;RUA AMELIA;GRACAS;05.684.913/0002-79;;;
207;PETROCAL-PETROLEO CAVALCANTI LTDA-07;RUA SAO MATEUS;IPUTINGA;12.781.233/0007-43;;;
208;PETROCAL-PETROLEO CAVALCANTI LTDA-2;RUA ERNESTO DE PAULA SANTOS ;BOA VIAGEM;12.781.233/0002-39;;;
209;PETROCAL-PETROLEO CAVALCANTI LTDA-3;RODOVIA BR-101 SUL;CURADO;12.781.233/0003-10;;;
210;PETROCAP - PETRÓLEO CAPITAL LTDA;AV. CAXANGA 4973;VARZEA ;12.259.163/0001-72;;;
211;PETROLEO COSMORAMA LTDA;RUA COSMORAMA;BOA VIAGEM;03.861.873/0001-87;;;
212;PIRES & LOPES COMBUSTÍVEIS LTDA;AVENIDA DESEMBARGADOR JOSE NEVES;BOA VIAGEM;16.700.721/0001-44;;;
213;POSTO AÇORES LTDA;ESTRADA DE BELEM;HIPODROMO;05.930.453/0001-30;;;
214;POSTO APIPUCOS LTDA;RUA DE APIPUCOS;APIPUCOS;08.986.176/0001-76;;;
215;POSTO APIPUCOS LTDA.;RUA PROFESSOR TRAJANO DE MENDONCA;TORRE;08.986.176/0003-38;;;
216;POSTO CAMPEAO LTDA;AVENIDA DOIS RIOS;IBURA;04.411.454/0001-06;;;
217;POSTO CAYMAN LTDA;ESTRADA DE BELEM;CAMPO GRANDE;05.297.513/0001-20;;;
218;POSTO CENTRO SUL LTDA.;AVENIDA ENGENHEIRO DOMINGOS FERREIRA ;BOA VIAGEM;09.490.876/0001-38;;;
219;POSTO CIDADE LTDA.;RUA CONSELHEIRO PORTELA;ESPINHEIRO;11.856.861/0002-73;;;
220;POSTO DE COMBUSTÍVEIS CDU LTDA.;RUA GENERAL POLIDORO;VARZEA;08.986.228/0001-04;;;
221;POSTO DE COMBUSTÍVEIS E SERVIÇOS O M LTDA.;RUA DOUTOR JOSE MARIA ;ENCRUZILHADA;06.282.374/0001-23;;;
222;POSTO DE COMBUSTÍVEIS EUROPA LTDA.;ESTRADA DOS REMEDIOS;AFOGADOS;11.190.994/0001-72;;;
223;POSTO DE SERVICOS QUATRO IRMAOS LTDA;AVENIDA MANOEL GONCALVES DA LUZ;MUSTARDINHA;11.375.615/0001-19;;;
224;POSTO ELO LTDA;ESTRADA DOS REMEDIO;AFOGADOS;03.895.826/0001-54;;;
225;POSTO ESCADENSE LTDA.;RUA IMPERIAL;SÃO JOSÉ;03.797.708/0002-94;;;
226;POSTO ESTRADA DOS REMEDIOS LTDA;ESTRADA DOS REMEDIOS;ILHA DO RETIRO;35.520.907/0001-66;;;
227;POSTO LUPP LTDA;AVENIDA ENGENHEIRO DOMINGOS FERREIRA;BOA VIAGEM;01.199.880/0001-30;;;
228;POSTO MAIS LTDA;RUA JORNALISTA EDSON REGIS;IBURA;06.083.222/0001-00;;;
229;POSTO SAO FELIX ESPINHEIRO LTDA - ME;RUA SANTO ELIAS ;ESPINHEIRO;21.280.350/0001-29;;;
230;POSTO SEJAL LTDA.;AVENIDA MILITAR;RECIFE;08.264.428/0002-34;;;
231;POSTO W. R. ABREU LTDA;RUA SAO MIGUEL;AFOGADOS;05.241.121/0001-49;;;
232;POSTO YPIRANGA LTDA;RUA FUTURO;AFLITOS;11.231.172/0001-92;;;
233;R C LINS E MELLO & CIA;AVENIDA VISCONDE DE SUASSUNA;SANTO AMARO;10.975.977/0001-88;;;
234;RS COMBUSTIVEIS E LUBRIFICANTES LTDA;AVENIDA DOM JOAO VI;IMBIRIBEIRA;19.205.115/0001-40;;;
235;SENZALA SERVICOS AUTOMOTIVOS LTDA;ESTRADA DO ARRAIAL;CASA AMARELA;24.337.255/0001-02;;;
236;SILVA E SILVA COM. VAREJISTA DE COMB LTDA - EPP;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR;TAMARINEIRA;12.567.060/0001-70;;;
237;SOLEDADE COMBUSTIVEIS LTDA;RUA JOÃO FERNANDES VIEIRA;BOA VISTA;08.154.339/0001-54;;;
238;TEIXEIRA & FILHOS LTDA EPP;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR;APIPUCOS;08.174.762/0001-16;;;
239;TORRE AUTO SERVICE LTDA;RUA JOSÉ BONIFÁCIO;TORRE;24.380.610/0001-26;;;
240;VENEZA COMBUSTIVEIS LTDA;AVENIDA CONDE DA BOA VISTA;BOA VISTA;08.924.757/0001-83;;;
